mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_booster,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
74.0887979666392,0.29893009659387904,0.380799134572347,0.020024734891650593,0.75,10,4,0.05,0.5,1.0,gbtree,"{'subsample': 0.75, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5038347163745318,0.5063920430035787,0.5028669698378433,0.504364576405318,0.0014870774346830695,241
56.460179249445595,0.40503806293987105,0.4112373987833659,0.025961342635231404,0.5,5,5,0.3,2,0.5,gbtree,"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 2, 'colsample_bytree': 0.5, 'booster': 'gbtree'}",0.5050524332481384,0.5024311885170852,0.5041034247252402,0.5038623488301547,0.001083610992749704,278
438.1169681549072,0.8859401272631238,24.959131956100464,1.452628012923067,0.75,5,4,0.1,1.5,0.5,dart,"{'subsample': 0.75, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 1.5, 'colsample_bytree': 0.5, 'booster': 'dart'}",0.50251584662241,0.5020837027368259,0.5009700129689405,0.5018565207760588,0.0006512086985102911,388
80.23269073168437,0.22271694889353116,0.3865833282470703,0.014133811527384682,0.5,5,4,0.3,2,1.0,gbtree,"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.3, 'gamma': 2, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5036912344433542,0.5048259913036872,0.5036303773047706,0.5040492010172707,0.0005498352842033658,268
89.89680409431458,0.2820675225711851,0.40962974230448407,0.015030911558165504,0.75,5,5,0.3,2,1.0,gbtree,"{'subsample': 0.75, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 2, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5053601371138121,0.5048433351229032,0.5042685502206167,0.5048240074857774,0.0004458479969052764,208
515.5106539726257,1.6939590775039972,25.920247077941895,1.3871240454896074,0.5,5,6,0.01,0.5,1.0,dart,"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 1.0, 'booster': 'dart'}",0.5290938493298261,0.524568769523608,0.5343375275811907,0.5293333821448748,0.003991673873954022,6
489.43925563494366,1.6601719393858003,23.74634901682536,2.0676213078699814,0.75,1,5,0.5,1.5,1.0,dart,"{'subsample': 0.75, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.5, 'gamma': 1.5, 'colsample_bytree': 1.0, 'booster': 'dart'}",0.5083445133522896,0.5086729572212816,0.5093603443246036,0.5087926049660583,0.00042325313796886865,110
77.63411410649617,0.6433794991377007,0.4200289249420166,0.015517155362152243,0.5,5,5,0.001,2,0.75,gbtree,"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 2, 'colsample_bytree': 0.75, 'booster': 'gbtree'}",0.5,0.5,0.5,0.5,0.0,410
71.400861342748,1.7412959207204775,0.40834776560465497,0.02331947657515717,0.75,1,5,0.05,5,0.75,gbtree,"{'subsample': 0.75, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 0.75, 'booster': 'gbtree'}",0.5032573924657189,0.5035054234595142,0.5040228483054787,0.5035952214102373,0.0003188818115657245,289
90.73312886555989,0.8095786028344153,0.4622519810994466,0.029046618744477237,0.5,1,6,0.5,0.5,0.75,gbtree,"{'subsample': 0.5, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.75, 'booster': 'gbtree'}",0.5137172629078687,0.5104479837977917,0.5146133734609931,0.5129262067222178,0.001790148071756217,64
441.8857514858246,2.5632546984672313,25.15587814648946,1.0173051288099217,0.75,1,4,0.3,2,0.5,dart,"{'subsample': 0.75, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.3, 'gamma': 2, 'colsample_bytree': 0.5, 'booster': 'dart'}",0.5030110595639748,0.5025365866257284,0.501836325921289,0.5024613240369974,0.0004825267700769558,367
106.54372469584148,2.1147130126570666,0.47472310066223145,0.007737190945523658,0.75,1,6,0.3,5,1.0,gbtree,"{'subsample': 0.75, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 5, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5070696707448812,0.5093573773307889,0.5061655070895195,0.5075308517217298,0.0013432609151689196,133
51.368393341700234,0.2646739409028776,0.3870124816894531,0.031969964546859,1.0,10,4,0.1,2,0.75,gbtree,"{'subsample': 1.0, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 2, 'colsample_bytree': 0.75, 'booster': 'gbtree'}",0.502433735655162,0.5032383505544518,0.5032179608319147,0.5029633490138429,0.0003745856977748089,331
442.63535563151044,0.8425763811528981,25.502089738845825,1.5962868408416226,0.75,5,4,0.05,2,0.5,dart,"{'subsample': 0.75, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 2, 'colsample_bytree': 0.5, 'booster': 'dart'}",0.50251584662241,0.5012583478342177,0.5013616894384779,0.5017119612983686,0.0005699962470342428,392
38.61637250582377,0.12437343851256236,0.380487600962321,0.029561673813678666,1.0,1,4,0.01,1,0.5,gbtree,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 1, 'colsample_bytree': 0.5, 'booster': 'gbtree'}",0.5115041491235955,0.5127366626783414,0.5106837318811276,0.5116415145610215,0.0008437152608499488,79
54.73337451616923,0.396616396198262,0.4988365173339844,0.021142262260861203,1.0,1,6,0.3,5,0.5,gbtree,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 5, 'colsample_bytree': 0.5, 'booster': 'gbtree'}",0.5035261634628325,0.5053609861598377,0.5043730447683794,0.5044200647970166,0.0007498007489465128,237
94.76646208763123,0.6466139445176172,0.4379700819651286,0.022130034820021446,0.75,1,5,0.3,2,1.0,gbtree,"{'subsample': 0.75, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 2, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5061440120097834,0.5069062978564107,0.5039797792365005,0.5056766963675648,0.0012396009412352312,176
80.90544509887695,0.4918489139009784,0.39569640159606934,0.019094864994591666,0.5,1,4,0.001,0,1.0,gbtree,"{'subsample': 0.5, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.001, 'gamma': 0, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5,0.5,0.5,0.5,0.0,410
63.15086277325948,0.1424493923403219,0.3909025192260742,0.01292748745272696,1.0,1,4,0.05,0.5,1.0,gbtree,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5021649646580484,0.5033179143836229,0.5039398882922052,0.5031409224446254,0.0007353380567805185,317
439.49788665771484,1.2184570876130414,25.112661520640057,1.628496512848419,0.75,10,4,0.1,0.5,0.5,dart,"{'subsample': 0.75, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.5, 'booster': 'dart'}",0.5023507756418883,0.5021450737007556,0.5011143984609986,0.5018700826012141,0.0005409080094165526,387
62.245293299357094,0.15307224641059297,0.4570769468943278,0.040532708122198294,1.0,1,5,0.001,0,0.75,gbtree,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 0, 'colsample_bytree': 0.75, 'booster': 'gbtree'}",0.5,0.5,0.5,0.5,0.0,410
470.82318727175397,1.4109534682666574,24.356412649154663,1.4953165355334652,0.75,1,4,0.05,0,1.0,dart,"{'subsample': 0.75, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 1.0, 'booster': 'dart'}",0.5033602434362854,0.5055675371469961,0.503651117308089,0.5041929659637902,0.0009791957092769692,260
117.16690754890442,1.0250262124815441,0.5075000921885172,0.015723843941853687,0.5,1,6,0.01,1,1.0,gbtree,"{'subsample': 0.5, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 1, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5280826834433779,0.5235394107719181,0.5328306581194839,0.5281509174449267,0.00379344269563833,10
480.03635629018146,0.4791092359652328,25.418498198191326,1.2756201359371253,1.0,10,5,0.3,2,1.0,dart,"{'subsample': 1.0, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 2, 'colsample_bytree': 1.0, 'booster': 'dart'}",0.5054638371304041,0.5068639688037484,0.5034836082192004,0.5052704713844509,0.0013867833654834772,185
91.1879342397054,0.24582005219205244,0.4606759548187256,0.010385529497608048,0.5,10,6,0.5,2,0.75,gbtree,"{'subsample': 0.5, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.5, 'gamma': 2, 'colsample_bytree': 0.75, 'booster': 'gbtree'}",0.5099955860562102,0.5108564776432761,0.5110930524221803,0.5106483720405555,0.0004715853139653299,93
44.721987883249916,0.10679625375365866,0.4276697635650635,0.048153535658600234,0.75,10,4,0.1,1.5,0.5,gbtree,"{'subsample': 0.75, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 1.5, 'colsample_bytree': 0.5, 'booster': 'gbtree'}",0.500948945876493,0.5,0.5013202094318412,0.500756385102778,0.0005559064517589717,407
511.1227224667867,2.1908253705520866,24.374297618865967,1.3237314702433383,0.75,1,6,0.05,1,1.0,dart,"{'subsample': 0.75, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 1, 'colsample_bytree': 1.0, 'booster': 'dart'}",0.5042668602601159,0.5075449927291532,0.5049489976742703,0.5055869502211798,0.0014122737483034024,178
446.4614254633586,1.1370609474057543,25.89298168818156,1.0666157655576152,1.0,10,5,0.1,5,0.5,dart,"{'subsample': 1.0, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 5, 'colsample_bytree': 0.5, 'booster': 'dart'}",0.5025573266290468,0.5009074658698561,0.5025997333882163,0.5020215086290398,0.0007879374066819055,379
77.76409872372945,0.13855080624340244,0.4230099519093831,0.025497972033186628,1.0,5,5,0.001,0,1.0,gbtree,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 0, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5,0.5,0.5,0.5,0.0,410
